4 1 429
S_0 V_0 A T S
1 3 3 1 5.5
1 3 3 2 13.0
1 3 3 3 23.5
1 3 3 4 37.0
1 3 3 5 53.5
1 3 3 6 73.0
1 3 3 7 95.5
1 3 3 8 121.0
1 3 3 9 149.5
1 3 4 1 6.0
1 3 4 2 15.0
1 3 4 3 28.0
1 3 4 4 45.0
1 3 4 5 66.0
1 3 4 6 91.0
1 3 4 7 120.0
1 3 4 8 153.0
1 3 4 9 190.0
2 0 0 1 2.0
2 0 0 2 2.0
2 0 0 3 2.0
2 0 0 4 2.0
2 0 0 5 2.0
2 0 0 6 2.0
2 0 0 7 2.0
2 0 0 8 2.0
2 0 0 9 2.0
2 0 1 1 2.5
2 0 1 2 4.0
2 0 1 3 6.5
2 0 1 4 10.0
2 0 1 5 14.5
2 0 1 6 20.0
2 0 1 7 26.5
2 0 1 8 34.0
2 0 1 9 42.5
2 0 2 1 3.0
2 0 2 2 6.0
2 0 2 3 11.0
2 0 2 4 18.0
2 0 2 5 27.0
2 0 2 6 38.0
2 0 2 7 51.0
2 0 2 8 66.0
2 0 2 9 83.0
2 0 3 1 3.5
2 0 3 2 8.0
2 0 3 3 15.5
2 0 3 4 26.0
2 0 3 5 39.5
2 0 3 6 56.0
2 0 3 7 75.5
2 0 3 8 98.0
2 0 3 9 123.5
2 0 4 1 4.0
2 0 4 2 10.0
2 0 4 3 20.0
2 0 4 4 34.0
2 0 4 5 52.0
2 0 4 6 74.0
2 0 4 7 100.0
2 0 4 8 130.0
2 0 4 9 164.0
2 1 0 1 3.0
2 1 0 2 4.0
2 1 0 3 5.0
2 1 0 4 6.0
2 1 0 5 7.0
2 1 0 6 8.0
2 1 0 7 9.0
2 1 0 8 10.0
2 1 0 9 11.0
2 1 1 1 3.5
2 1 1 2 6.0
2 1 1 3 9.5
2 1 1 4 14.0
2 1 1 5 19.5
2 1 1 6 26.0
2 1 1 7 33.5
2 1 1 8 42.0
2 1 1 9 51.5
2 1 2 1 4.0
2 1 2 2 8.0
2 1 2 3 14.0
2 1 2 4 22.0
2 1 2 5 32.0
2 1 2 6 44.0
